,CASENO,OFFENSE,CVLEGEND,BLKADDR,City,State,Day,Lat,Lon,timestamp,RATING
3799,17050513,ASSAULT/BATTERY FEL.,ASSAULT,CHANNING WAY & ELLSWORTH ST,Berkeley,CA,Saturday,37.866327,-122.263359,2017-08-26 02:18:00,5
3801,17056568,THEFT FROM AUTO,LARCENY - FROM VEHICLE,700 PAGE ST,Berkeley,CA,Monday,37.875826,-122.303426,2017-09-18 21:00:00,4
3803,18007443,DISTURBANCE,DISORDERLY CONDUCT,2000 CARLETON ST,Berkeley,CA,Monday,37.860926,-122.269532,2018-02-05 23:45:00,3
3807,17067011,DISTURBANCE,DISORDERLY CONDUCT,ALLSTON WAY & ACTON ST,Berkeley,CA,Friday,37.867083,-122.283911,2017-11-03 19:33:00,3
3811,17066873,ROBBERY,ROBBERY,2000 DWIGHT WAY,Berkeley,CA,Friday,37.863679,-122.26963,2017-11-03 02:34:00,3
3815,17049627,THEFT FELONY (OVER $950),LARCENY,2200 BLAKE ST,Berkeley,CA,Tuesday,37.863353,-122.265053,2017-08-22 04:00:00,3
3819,17064130,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,TELEGRAPH AVENUE & DURANT AVE,Berkeley,CA,Sunday,37.867816,-122.258994,2017-10-22 01:31:00,1
3821,18000298,THEFT FELONY (OVER $950),LARCENY,1200 FIFTH ST,Berkeley,CA,Tuesday,37.880786,-122.303067,2018-01-02 14:15:00,3
3822,17067992,ASSAULT/BATTERY MISD.,ASSAULT,1300 MILVIA ST,Berkeley,CA,Wednesday,37.883555,-122.272036,2017-11-08 08:30:00,4
3824,17052235,GUN/WEAPON,WEAPONS OFFENSE,UNIVERSITY AVENUE & MILVIA ST,Berkeley,CA,Friday,37.871799,-122.270745,2017-09-01 22:56:00,5
3825,17072758,ROBBERY,ROBBERY,BERKELEY WAY & CALIFORNIA ST,Berkeley,CA,Thursday,37.871593,-122.279879,2017-11-30 16:20:00,3
3827,17054386,ASSAULT/BATTERY FEL.,ASSAULT,2500 DURANT AVE,Berkeley,CA,Sunday,37.867852,-122.258699,2017-09-10 00:00:00,5
3832,17070790,DISTURBANCE,DISORDERLY CONDUCT,2200 FIFTH ST,Berkeley,CA,Monday,37.864795,-122.297863,2017-11-20 15:50:00,3
3837,17051322,DISTURBANCE,DISORDERLY CONDUCT,1200 CARRISON ST,Berkeley,CA,Tuesday,37.851521,-122.28549,2017-08-29 15:29:00,3
3842,17076296,ASSAULT/BATTERY MISD.,ASSAULT,1900 ASHBY AVE,Berkeley,CA,Saturday,37.854286,-122.271015,2017-12-16 13:26:00,4
3843,17050199,ROBBERY,ROBBERY,1900 BERKELEY WAY,Berkeley,CA,Thursday,37.87247,-122.273021,2017-08-24 22:50:00,3
3844,17071075,MISSING ADULT,MISSING PERSON,2200 SPAULDING AVE,Berkeley,CA,Tuesday,37.867643,-122.280643,2017-11-21 08:25:00,4
3847,17057557,SEXUAL ASSAULT FEL.,SEX CRIME,2700 BANCROFT WAY,Berkeley,CA,Saturday,37.869312,-122.254314,2017-09-23 11:30:00,5
3848,18006941,ASSAULT/BATTERY FEL.,ASSAULT,2900 SACRAMENTO ST,Berkeley,CA,Saturday,37.8549,-122.27945,2018-02-03 14:00:00,5
3849,17049871,THEFT FROM AUTO,LARCENY - FROM VEHICLE,800 MENDOCINO AVE,Berkeley,CA,Wednesday,37.893148,-122.274809,2017-08-23 15:13:00,4
3851,18002419,GUN/WEAPON,WEAPONS OFFENSE,200 MARINA BLVD,Berkeley,CA,Friday,37.868667,-122.313656,2018-01-12 23:15:00,5
3852,17071000,ASSAULT/BATTERY MISD.,ASSAULT,2000 KITTREDGE ST,Berkeley,CA,Tuesday,37.868204,-122.270054,2017-11-21 18:30:00,4
3856,18006375,ROBBERY,ROBBERY,SHATTUCK AVENUE & ALLSTON WAY,Berkeley,CA,Thursday,37.86939,-122.267883,2018-02-01 11:00:00,3
3860,17078360,DISTURBANCE,DISORDERLY CONDUCT,2100 KITTREDGE ST,Berkeley,CA,Wednesday,37.868512,-122.26781,2017-12-27 23:17:00,3
3866,17065140,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,3000 SHATTUCK AVE,Berkeley,CA,Thursday,37.855026,-122.266475,2017-10-26 14:31:00,1
3867,17054906,SEXUAL ASSAULT FEL.,SEX CRIME,1200 FOURTH ST,Berkeley,CA,Tuesday,37.880551,-122.304085,2017-08-15 00:01:00,5
3868,17055380,ASSAULT/BATTERY FEL.,ASSAULT,3000 ADELINE ST,Berkeley,CA,Thursday,37.85488,-122.269079,2017-09-14 11:51:00,5
3872,17066824,ASSAULT/BATTERY FEL.,ASSAULT,2600 SACRAMENTO ST,Berkeley,CA,Thursday,37.860334,-122.280567,2017-11-02 20:49:00,5
3873,17073322,DISTURBANCE,DISORDERLY CONDUCT,2100 CENTER ST,Berkeley,CA,Saturday,37.870308,-122.26805,2017-12-02 22:01:00,3
3877,17057208,THEFT FROM AUTO,LARCENY - FROM VEHICLE,1300 BERKELEY WAY,Berkeley,CA,Thursday,37.870592,-122.286613,2017-09-21 22:00:00,4
3878,17050776,DISTURBANCE,DISORDERLY CONDUCT,CENTER STREET & MILVIA ST,Berkeley,CA,Sunday,37.869973,-122.270557,2017-08-27 03:15:00,3
3880,17059927,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,BLAKE STREET & SHATTUCK AVE,Berkeley,CA,Tuesday,37.863053,-122.267321,2017-10-03 22:20:00,1
3895,18006580,BRANDISHING,WEAPONS OFFENSE,1400 UNIVERSITY AVE,Berkeley,CA,Friday,37.870054,-122.284263,2018-02-02 08:41:00,5
3896,17055258,MISSING ADULT,MISSING PERSON,1600 WALNUT ST,Berkeley,CA,Sunday,37.878407,-122.267962,2017-09-10 15:00:00,4
3902,17054410,DISTURBANCE,DISORDERLY CONDUCT,2000 ALLSTON WAY,Berkeley,CA,Sunday,37.869096,-122.270137,2017-09-10 10:17:00,3
3903,17056773,DISTURBANCE,DISORDERLY CONDUCT,DWIGHT WAY & FULTON ST,Berkeley,CA,Wednesday,37.864238,-122.265263,2017-09-20 11:30:00,3
3917,17048949,ASSAULT/BATTERY FEL.,ASSAULT,2200 SHATTUCK AVE,Berkeley,CA,Saturday,37.869363,-122.268028,2017-08-19 20:41:00,5
3920,17065455,ROBBERY,ROBBERY,1400 SHATTUCK AVE,Berkeley,CA,Friday,37.881957,-122.269551,2017-10-27 20:23:00,3
3925,17065163,ASSAULT/BATTERY FEL.,ASSAULT,1100 DELAWARE ST,Berkeley,CA,Thursday,37.871689,-122.292898,2017-10-26 16:00:00,5
3928,17058317,THEFT FELONY (OVER $950),LARCENY,900 BATAAN AVE,Berkeley,CA,Wednesday,37.87493,-122.298604,2017-09-27 02:00:00,3
3930,17057661,ASSAULT/BATTERY MISD.,ASSAULT,1800 SAN PABLO AVE,Berkeley,CA,Saturday,37.871402,-122.292965,2017-09-23 19:40:00,4
3937,17079013,DISTURBANCE,DISORDERLY CONDUCT,HARPER STREET & ASHBY AVE,Berkeley,CA,Sunday,37.854154,-122.272171,2017-12-31 02:01:00,3
3938,17052742,SEXUAL ASSAULT FEL.,SEX CRIME,TELEGRAPH AVENUE & PARKER ST,Berkeley,CA,Saturday,37.863272,-122.258656,2017-09-02 19:00:00,5
3940,17054592,THEFT FROM AUTO,LARCENY - FROM VEHICLE,BANCROFT WAY & SAN PABLO AVE,Berkeley,CA,Sunday,37.864635,-122.290619,2017-09-10 21:00:00,4
3944,17053422,ASSAULT/BATTERY MISD.,ASSAULT,2300 TELEGRAPH AVE,Berkeley,CA,Wednesday,37.868714,-122.259189,2017-09-06 19:30:00,4
3945,17052547,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,UNIVERSITY AVENUE & BONAR ST,Berkeley,CA,Sunday,37.869642,-122.287492,2017-09-03 00:02:00,1
3946,17066046,DISTURBANCE,DISORDERLY CONDUCT,2700 TELEGRAPH AVE,Berkeley,CA,Saturday,37.861387,-122.259001,2017-10-28 14:00:00,3
3948,17052514,ROBBERY,ROBBERY,REGENT STREET & DWIGHT WAY,Berkeley,CA,Saturday,37.865202,-122.257795,2017-09-02 23:06:00,3
3951,17091742,THEFT FELONY (OVER $950),LARCENY,1600 EUCLID AVE,Berkeley,CA,Thursday,37.87927,-122.260989,2017-08-31 00:00:00,3
3956,17091703,THEFT FELONY (OVER $950),LARCENY,1900 DWIGHT WAY,Berkeley,CA,Monday,37.863353,-122.272097,2017-08-21 12:35:00,3
3961,18090264,THEFT FELONY (OVER $950),LARCENY,2400 PROSPECT ST,Berkeley,CA,Tuesday,37.867717,-122.249901,2018-01-30 22:00:00,3
3964,17067046,THEFT FROM PERSON,LARCENY,2300 COLLEGE AVE,Berkeley,CA,Friday,37.868957,-122.254552,2017-11-03 21:12:00,5
3966,17052920,ASSAULT/BATTERY FEL.,ASSAULT,2300 STUART ST,Berkeley,CA,Monday,37.859195,-122.261915,2017-09-04 16:58:00,5
